,budget,original_language,release_date,revenue,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_revenue,real_profit
296,30000000.0,en,2017-08-16,176586701.0,118.0,The Hitman's Bodyguard,"Action, Comedy, Crime, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",R,6.133333333333334,31675628.263707567,186449823.23968259,154774194.975975
298,90000000.0,en,2016-06-02,334901337.0,129.0,Now You See Me 2,"Action, Adventure, Comedy, Crime, Mystery, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",PG-13,5.966666666666667,97051294.33724847,361140091.45694494,264088797.11969647
300,38000000.0,en,2003-07-25,197011982.0,84.0,Spy Kids 3-D: Game Over,"Action, Adventure, Comedy, Family, Sci-Fi",2003,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",PG,5.033333333333333,53450097.82608695,277113413.4424021,223663315.6163152
303,18500000.0,en,2016-03-10,6490401.0,120.0,The Young Messiah,"Drama, Fantasy",2016,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",PG-13,4.933333333333334,19949432.72487886,6998909.086864132,-12950523.638014726
304,80000000.0,en,2002-06-21,145771527.0,85.0,Lilo & Stitch,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",2002,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",PG,7.333333333333333,115091050.58365758,209712477.34517506,94621426.76151748
305,49000000.0,en,2015-03-04,104399548.0,120.0,Chappie,"Action, Crime, Drama, Sci-Fi, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",R,5.8999999999999995,53505609.30228633,113999212.78823037,60493603.48594405
306,2500000.0,en,2015-06-26,6341684.0,99.0,Knock Knock,"Drama, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",R,5.133333333333334,2729878.025626854,6924809.518827763,4194931.493200909
307,190000000.0,en,2015-05-19,209154322.0,130.0,Tomorrowland,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi",2015,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",PG,6.199999999999999,207470729.94764087,228386315.03707328,20915585.08943242
308,230000000.0,en,2017-05-23,794861794.0,129.0,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",PG-13,5.666666666666666,242846483.35509133,839258223.5922568,596411740.2371655
309,180000000.0,en,2014-05-28,758539785.0,97.0,Maleficent,"Action, Adventure, Family, Fantasy, Romance",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",PG,6.566666666666666,196784519.46472016,829271594.922762,632487075.4580419
310,165000000.0,en,2010-03-10,494878759.0,98.0,How to Train Your Dragon,"Animation, Action, Adventure, Family, Fantasy",2010,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",PG,7.799999999999999,195838752.43056828,587372356.1633204,391533603.73275214
313,130000000.0,en,2008-06-04,631744560.0,90.0,Kung Fu Panda,"Animation, Action, Adventure, Comedy, Family",2008,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",PG,7.333333333333334,156270140.22099087,759406238.2696013,603136098.0486104
315,38000000.0,en,2002-08-07,119723358.0,100.0,Spy Kids 2: The Island of Lost Dreams,"Action, Adventure, Comedy, Family, Sci-Fi",2002,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",PG,5.8,54668249.027237356,172238588.1452918,117570339.11805445
316,130000000.0,en,2015-07-14,519311965.0,117.0,Ant-Man,"Action, Adventure, Comedy, Sci-Fi",2015,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",PG-13,6.933333333333334,141953657.3325964,567063328.6794407,425109671.3468443
317,177200000.0,en,2017-07-20,225874228.0,136.0,Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",PG-13,6.066666666666666,187097377.61096606,238490269.34933093,51392891.738364875
319,36000000.0,cn,2015-12-19,156844753.0,105.0,Ip Man 3,"Action, Biography, Drama, History",2015,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '57/100'}]",PG-13,6.566666666666666,39310243.56902669,171266817.85982862,131956574.29080193
320,68000000.0,en,2010-06-23,698491347.0,124.0,The Twilight Saga: Eclipse,"Action, Adventure, Drama, Fantasy, Romance, Thriller",2010,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",PG-13,5.666666666666667,80709304.03199178,829040448.363801,748331144.3318093
322,110000000.0,en,2011-11-16,712171856.0,117.0,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy, Romance, Thriller",2011,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",PG-13,5.200000000000001,126564135.16553375,819412864.0352094,692848728.8696756
323,380000000.0,en,2011-05-14,1045713802.0,137.0,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",2011,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",PG-13,5.866666666666666,437221557.8445711,1203180572.5526564,765959014.7080853
324,45000000.0,en,2016-10-05,173185859.0,112.0,The Girl on the Train,"Crime, Drama, Mystery, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,5.9,48525647.16862424,186754575.2984246,138228928.12980038
326,100000000.0,en,2005-02-08,230884728.0,121.0,Constantine,"Action, Fantasy, Horror, Mystery",2005,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",R,6.300000000000001,132519713.26164871,305967779.5105376,173448066.2488889
327,69000000.0,en,2018-02-28,151572634.0,140.0,Red Sparrow,"Action, Drama, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",R,6.133333333333333,71116930.23292859,156222904.88984376,85105974.65691517
328,1500000.0,en,2010-09-13,97009150.0,103.0,Insidious,"Horror, Mystery, Thriller",2010,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,6.300000000000001,1780352.2948233478,115140308.54757492,113359956.25275157
329,40000000.0,en,2011-10-27,173930596.0,109.0,In Time,"Action, Sci-Fi, Thriller",2011,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",PG-13,6.300000000000001,46023321.87837592,200121595.10514405,154098273.22676814
330,55000000.0,en,2014-09-24,192330738.0,132.0,The Equalizer,"Action, Crime, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",R,6.699999999999999,60128603.16977561,210265065.86458334,150136462.69480774
331,145000000.0,en,2014-06-09,609123048.0,102.0,How to Train Your Dragon 2,"Animation, Action, Adventure, Family, Fantasy",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",PG,7.699999999999999,158520862.90213573,665922146.086476,507401283.18434024
334,128000000.0,en,2003-10-23,250397798.0,85.0,Brother Bear,"Animation, Adventure, Comedy, Family, Fantasy",2003,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",G,6.266666666666666,180042434.7826087,352204915.7509674,172162480.9683587
335,250000000.0,en,2014-05-15,747862775.0,132.0,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",PG-13,7.633333333333333,273311832.5898891,817598982.2440398,544287149.6541507
336,40000000.0,en,2005-09-12,117195061.0,77.0,Corpse Bride,"Animation, Drama, Family, Fantasy, Musical, Romance",2005,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",PG,7.666666666666667,53007885.30465949,155306558.7940143,102298673.48935482
338,1200000.0,en,2004-10-01,103911669.0,103.0,Saw,"Horror, Mystery, Thriller",2004,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",R,6.533333333333333,1644114.3462149284,142368888.11836419,140724773.77214926
339,92000000.0,en,2004-11-05,631442092.0,115.0,The Incredibles,"Animation, Action, Adventure, Family",2004,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Metacritic', 'Value': '90/100'}]",PG,8.233333333333333,126048766.5431445,865135835.217639,739087068.6744945
341,19000000.0,ja,2001-07-20,274925095.0,125.0,Spirited Away,"Animation, Adventure, Family, Fantasy, Mystery",2001,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",PG,8.9,27766284.58498024,401770969.8590909,374004685.2741107
342,150000000.0,en,2015-05-13,378858340.0,121.0,Mad Max: Fury Road,"Action, Adventure, Sci-Fi, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",R,8.2,163792681.53761122,413694822.87658685,249902141.33897564
343,200000000.0,en,2014-04-16,708962323.0,142.0,The Amazing Spider-Man 2,"Action, Adventure, Fantasy, Sci-Fi",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",PG-13,6.1,218649466.0719113,775071166.9452596,556421700.8733482
344,23000000.0,en,2000-03-17,112880294.0,98.0,Final Destination,"Horror, Thriller",2000,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",R,5.6,34568252.032520324,169655410.97813007,135087158.94560975
345,3500000.0,en,2007-11-09,7766240.0,98.0,P2,"Crime, Horror, Thriller",2007,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",R,5.233333333333333,4368813.361499358,9694072.308745936,5325258.947246578
347,19000000.0,en,2016-07-11,140705322.0,89.0,Sausage Party,"Animation, Adventure, Comedy, Fantasy",2016,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",R,6.133333333333333,20488606.582308017,151729262.44710362,131240655.8647956
348,110000000.0,en,2017-03-29,169801921.0,107.0,Ghost in the Shell,"Action, Crime, Drama, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,5.833333333333334,116143970.30026108,179286084.268648,63142113.96838692
349,25000000.0,en,2018-09-06,48818723.0,102.0,Peppermint,"Action, Drama, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",R,5.333333333333333,25767003.70758282,50316488.66161835,24549484.95403553
350,12600000.0,en,2003-05-30,28650575.0,84.0,Wrong Turn,"Horror, Thriller",2003,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",R,5.199999999999999,17722927.17391304,40299369.38220108,22576442.208288044
352,100000000.0,en,2017-03-23,142337240.0,124.0,Power Rangers,"Action, Adventure, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",PG-13,5.533333333333333,105585427.54569189,150287383.4107376,44701955.86504571
353,130000000.0,en,1999-06-18,448191819.0,88.0,Tarzan,"Animation, Adventure, Family",1999,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",G,7.533333333333333,201953361.3445378,696260341.3397899,494306979.9952521
354,100000000.0,en,2009-10-16,100086793.0,101.0,Where the Wild Things Are,"Adventure, Drama, Family, Fantasy",2009,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",PG,6.766666666666666,120636999.67837714,120741704.149508,104704.47113086283
357,70000000.0,en,1999-08-06,23159305.0,86.0,The Iron Giant,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",1999,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",PG,8.133333333333333,108744117.64705883,35977688.393487394,-72766429.25357144
358,150000000.0,en,2007-12-12,585410052.0,101.0,I Am Legend,"Action, Adventure, Drama, Sci-Fi, Thriller",2007,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",PG-13,6.966666666666667,187234858.3499725,730727787.7524669,543492929.4024944
359,120000000.0,en,2012-11-13,829000000.0,115.0,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy, Romance",2012,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,5.7333333333333325,135270608.11693683,934494451.0745053,799223842.9575685
360,6000000.0,en,2018-09-13,1214525.0,122.0,Mandy,"Action, Horror, Mystery, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",Not Rated,6.933333333333334,6184080.889819876,1251786.807118081,-4932294.082701795
361,40000000.0,en,2014-07-17,126069509.0,97.0,Sex Tape,"Comedy, Romance",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",R,4.7,43729893.21438227,137825154.1539901,94095260.93960783
362,127500000.0,en,2000-05-19,354248063.0,82.0,Dinosaur,"Animation, Adventure, Family, Thriller",2000,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",PG,6.199999999999999,191628353.65853658,532423318.42678857,340794964.768252
363,160000000.0,en,2007-05-17,798958165.0,93.0,Shrek the Third,"Animation, Adventure, Comedy, Family, Fantasy",2007,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",PG,6.033333333333333,199717182.23997065,997285459.0088595,797568276.7688888
364,150000000.0,en,2005-06-10,374218673.0,140.0,Batman Begins,"Action, Adventure",2005,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",PG-13,7.633333333333333,198779569.8924731,495913512.4311469,297133942.5386738
365,7000000.0,en,2017-04-12,40343446.0,101.0,Gifted,Drama,2017,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",PG-13,7.2333333333333325,7390979.928198433,42596799.94576534,35205820.017566904
366,50000000.0,en,2012-06-29,549368315.0,107.0,Ted,Comedy,2012,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",R,6.5,56362753.38205702,619278217.0852244,562915463.7031673
368,100000000.0,en,2000-12-15,169327687.0,78.0,The Emperor's New Groove,"Animation, Adventure, Comedy, Family, Fantasy",2000,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",G,7.300000000000001,150296747.96747968,254494006.96955284,104197259.00207317
369,215000000.0,en,2012-06-23,757930663.0,136.0,The Amazing Spider-Man,"Action, Adventure, Fantasy, Sci-Fi",2012,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",PG-13,6.699999999999999,242359839.54284516,854381180.7873595,612021341.2445143
370,11800000.0,en,2002-01-25,47494916.0,101.0,A Walk to Remember,"Drama, Romance",2002,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",PG,6.200000000000001,16975929.96108949,68327997.2477821,51352067.286692604
371,110000000.0,en,2011-09-28,299268508.0,127.0,Real Steel,"Action, Drama, Sci-Fi, Sport",2011,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",PG-13,6.533333333333333,126564135.16553375,344333271.7936329,217769136.62809917
372,4000000.0,en,2018-04-20,5132274.0,96.0,Traffik,Thriller,2018,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",R,5.333333333333334,4122720.5932132513,5289732.927453237,1167012.3342399853
374,5000000.0,en,2018-02-01,823471.0,94.0,Braven,"Action, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",R,6.066666666666666,5153400.741516565,848735.2124034773,-4304665.529113088
375,2011799.0,en,2009-04-26,252207.0,92.0,The Human Centipede (First Sequence),Horror,2009,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",R,4.3,2426973.9531595944,304254.95777884463,-2122718.99538075
376,10000000.0,en,2018-01-03,167184112.0,118.0,Insidious: The Last Key,"Horror, Mystery, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",PG-13,5.6000000000000005,10306801.48303313,172313345.35011765,162006543.86708453
377,35000000.0,en,2017-09-06,701796444.0,135.0,It,Horror,2017,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",R,7.133333333333333,36954899.640992165,740994775.8978622,704039876.25687
378,160000000.0,en,2010-07-15,825532764.0,148.0,Inception,"Action, Adventure, Sci-Fi, Thriller",2010,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",PG-13,8.166666666666668,189904244.78115714,979826100.5595075,789921855.7783504
379,250000000.0,en,2012-07-16,1081041287.0,165.0,The Dark Knight Rises,"Action, Adventure",2012,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",PG-13,7.966666666666667,281813766.9102851,1218609269.1000504,936795502.1897653
380,40000000.0,en,2014-07-25,458863600.0,89.0,Lucy,"Action, Sci-Fi, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",R,6.299999999999999,43729893.21438227,501651405.6991754,457921512.4847931
381,30000000.0,en,2004-11-14,140161792.0,87.0,The SpongeBob SquarePants Movie,"Animation, Action, Adventure, Comedy, Family, Fantasy",2004,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",PG,6.866666666666667,41102858.65537321,192035010.84866065,150932152.19328743
382,165000000.0,en,2010-05-16,752600867.0,93.0,Shrek Forever After,"Animation, Adventure, Comedy, Family, Fantasy, Romance",2010,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",PG,6.1,195838752.43056828,893263120.4329942,697424368.0024259
383,85000000.0,en,2017-01-13,346147658.0,107.0,xXx: Return of Xander Cage,"Action, Adventure, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",PG-13,5.066666666666667,89747613.41383812,365481484.63869935,275733871.22486126
384,5000000.0,en,2011-10-19,207039844.0,83.0,Paranormal Activity 3,"Horror, Mystery",2011,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",R,5.866666666666667,5752915.23479699,238216534.55151838,232463619.31672138
385,90000000.0,en,2011-04-03,484635760.0,96.0,Rio,"Animation, Adventure, Comedy, Crime, Family, Musical",2011,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",G,6.633333333333334,103552474.22634579,557613689.4062834,454061215.1799376
386,3000000.0,en,2015-08-28,67790117.0,120.0,War Room,Drama,2015,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",PG,5.666666666666666,3275853.630752224,74023500.30118936,70747646.67043714
387,40000000.0,en,2007-12-25,130290885.0,94.0,Aliens vs Predator: Requiem,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",2007,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",R,4.233333333333333,49929295.55999266,162633302.64845037,112704007.0884577
388,42000000.0,en,2018-11-06,73866088.0,129.0,Widows,"Crime, Drama, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",R,7.2666666666666675,43288566.22873914,76132310.53442556,32843744.305686414
389,80000000.0,en,2006-03-06,37384046.0,95.0,The Wild,"Animation, Adventure, Comedy, Family",2006,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",G,5.133333333333333,102702777.77777778,47993067.10965278,-54709710.668124996
390,260000000.0,en,2010-11-24,592461732.0,100.0,Tangled,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",2010,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",PG,7.466666666666667,308594397.7693803,703193736.1074768,394599338.33809656
391,300000000.0,en,2007-05-19,961000000.0,169.0,Pirates of the Caribbean: At World's End,"Action, Adventure, Fantasy",2007,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",PG-13,6.433333333333334,374469716.699945,1199551325.8288236,825081609.1288786
394,5000000.0,en,2015-09-11,4842699.0,121.0,90 Minutes in Heaven,Drama,2015,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",PG-13,4.533333333333333,5459756.051253708,5287991.033930056,-171765.01732365228
