adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,494004,tt0240705,en,Making Real Funny Home Videos,"Count Floyd, the former horror host of ""Monster Chiller Horror Theatre"" (SCTV), takes the audience through step by step lessons on how to make the best funny home videos.",0.6,/cbP3Z8fGHEZkxWLKWJeTJ74J7Et.jpg,"[{'id': 98788, 'logo_path': None, 'name': 'Mega Pictures Inc.', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1990-01-01,0,30.0,[],Released,,Making Real Funny Home Videos,False,0.0,0,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,494007,tt6956396,en,Pink Elephant,The coming-back of a Bosnian studying-abroad girl leads to an unexpected discovery that will slowly erode family relationships.,0.6,/wOMg5JQMX5cY07h4IEoylqLq5FM.jpg,"[{'id': 51341, 'logo_path': None, 'name': 'CSC Production', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2017-01-01,0,18.0,"[{'english_name': 'Bosnian', 'iso_639_1': 'bs', 'name': 'Bosanski'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Pink Elephant,False,0.0,0,,,,
False,/bXZXMQ6A7C0bev7PteoOlXXNSkk.jpg,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,494013,tt1605694,en,Death Wish,Death touches a little girl's soul by granting her fondest wish on Christmas Eve.,1.653,/vxqlkMj49KmgZxghY1CHpnqRnO9.jpg,"[{'id': 98791, 'logo_path': None, 'name': 'Citizen 11 Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2010-12-07,0,11.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Death touches a little girl's soul by granting her fondest wish on Christmas Eve.,Death Wish,False,0.0,0,,,,
False,,,0,[],,494018,,en,the fighting corbets,boxing movie,0.6,,[],[],,0,,[],Released,,the fighting corbets,False,0.0,0,,,,
False,/mw04q7zCKqF2AoTWDDZ1XFaiSmx.jpg,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",http://www.simexdesign.com/content/rudolph-the-red-nosed-reindeer-4-d/,494023,tt6329674,en,Rudolph the Red-Nosed Reindeer 4D,"When young Rudolph is teased for his red nose and runs away from Christmastown, he sets off on a series of adventures, meets new friends Hermey the Elf and Yukon Cornelius along the way, and escapes the clutches of the Abominable Snow Monster. When an epic snowstorm threatens Christmas, can he rescue his family and friends and help Santa save the holiday?",0.6,/e7EMvVnEKEi4cV8W1KagouePbwK.jpg,[],[],2016-11-25,0,10.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Rudolph the Red-Nosed Reindeer 4D,True,0.0,0,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,494024,tt0023017,en,Hollywood Runaround,1932 Comedy short film,0.6,,"[{'id': 21769, 'logo_path': None, 'name': 'Educational Films Corporation of America', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-12-18,0,18.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Hollywood Runaround,False,0.0,0,,,,
False,,,0,[],,494025,,en,Hijacked,"Airplane space is inhabited by characters for whom ‘escape’, one of the promises of airplane technology, proves elusive.",0.6,/4XCgU71J0iad90HqLoKl8qDNrnO.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-08,0,15.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Hijacked,False,0.0,0,,,,
False,,,5000000,[],,494030,tt3429692,en,Lake of Fire,"This story follows the lives of two teenagers from the Midwest, MAX and MAGGIE, the town misfits. Physically and socially they are total opposites. Maggie is a gifted high school runner from a dysfunctional family and Max is a shy boy with a clubfoot who hails from one of the town's most respected families. In spite of their differences and perhaps because of them, the two outcasts grow to become best friends, and all through school they help each other over the rough spots and lend a shoulder to cry on when needed.",0.6,,[],[],,0,,[],Released,,Lake of Fire,False,0.0,0,,,,
False,/3y8XWDA1s6rC24w7PPdrDZ0bwS7.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,494031,tt3543918,en,The Second Coming of Christ,"The journey of a woman scientist who, at the end of times, discovers that true Faith can bring Miracles.",15.256,/qTphDaFRoL2acXFPG2NUPzOl7Kb.jpg,[],[],2018-03-06,0,92.0,[],Released,"For as in Adam all die, so also in Christ shall all be made alive.",The Second Coming of Christ,False,3.6,4,,,,
False,/cVlLK1RLseRkRzXYbQx2L8YWU5l.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",,494036,tt7356144,en,Alex and the Handyman,"When Alex, a precious nine-year-old boy, develops a crush on Jared, the moody twenty-five-year-old handyman who works in the mansion where he lives, he will stop at nothing to get his attention.",0.778,/qNDZWZCGSaZHYFaXdM8SAzrzL31.jpg,[],[],2017-06-01,0,14.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Alex and the Handyman,False,6.2,5,,,,
