adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,/rrqb78ct78FNVupL39YJYEInMOr.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",https://radioflashmovie.com,492002,tt7288408,en,Radioflash,"When a nuclear strike causes an electromagnetic pulse that cuts off all power, water, and communication to the entire western United States, Reese finds herself plunged into an all-too-real fight to survive. As pandemonium grips her city, Reese and her father set out on a desperate journey in search of safety--a perilous trek through a world gone mad where every encounter with a stranger could be your last.",10.81,/z7RNOII2gXkZugOf7TjsISoLYRl.jpg,"[{'id': 4040, 'logo_path': None, 'name': 'Dark Coast Pictures', 'origin_country': ''}, {'id': 23749, 'logo_path': '/wRZQViUiN5RmT96MGVlXCtIEFlU.png', 'name': 'Decipher Entertainment', 'origin_country': 'US'}]",[],2019-11-15,0,103.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Radioflash,False,5.4,23,,,,
False,,,0,[],,492003,tt7701744,en,Alice,A young woman goes about her day despite the impending departure of her lover. A portrait of someone determined to carry on and an exploration of the pain of being left.,0.6,/qMAbIwItJeDtTp7gv2evEkQxzLx.jpg,[],[],2016-01-01,0,16.0,[],Released,,Alice,False,0.0,0,,,,
False,,,0,[],,492004,tt1505372,en,"On the Marriage Broker Joke as Cited by Owen Land...in the Film 'On the Marriage Broker Joke as Cited by Sigmund Freud in Wit and Its Relation to the Unconscious, or Can the Avant-Garde Artist Be Wholed?'","The Land Camera Collective presents a (nearly) shot-by-shot remake of the Owen Land 1977 classic experimental film 'On The Marriage Broker Joke as Cited by Sigmund Freud in Wit and Its Relation to the Unconscious, or Can the Avant-Garde Artist be Wholed?'",0.6,,[],[],2009-01-01,0,18.0,[],Released,,"On the Marriage Broker Joke as Cited by Owen Land...in the Film 'On the Marriage Broker Joke as Cited by Sigmund Freud in Wit and Its Relation to the Unconscious, or Can the Avant-Garde Artist Be Wholed?'",False,10.0,1,,,,
False,,,140000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,492006,tt5340728,en,Iseng,"Inspired by a true story about a young rookie detective paired with an experienced officer, a flirtatious secretary, a prostitute, three thugs, a driver, a restaurant owner, a cook, and a business man, all related in one deadly connection rooted in greed, lust, and deceit.",0.659,/qK1tGOi8PzO1IypIFDPbXS6y6v6.jpg,"[{'id': 147021, 'logo_path': None, 'name': 'Absolute Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",2016-03-10,0,100.0,[],Released,Sometimes a right choice can bring you to a wrong place.,Iseng,False,0.0,0,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}, {'id': 10749, 'name': 'Romance'}]",,492009,tt0001925,en,Three Million Dollars,"Mr. Joseph Close, ranch man, with his wife and daughter, visit the town for supplies. The daughter makes a hit with the storekeeper and it is with difficulty that the ranch man induces his daughter to leave. They return home, and the ranch man finds a letter in his mail box from Wm. Schrider, Attorney-at-Law, informing him that his brother is dead, and has left the sum of three million dollars to his daughter, on condition that she produce an official certificate of her marriage one month from the date of her uncle's death.",2.233,/85PBjKMryPYFilefMMtflYUV5C1.jpg,"[{'id': 52058, 'logo_path': None, 'name': 'American Film Manufacturing Company', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1911-09-06,0,11.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Three Million Dollars,False,0.0,0,,,,
False,,,0,"[{'id': 878, 'name': 'Science Fiction'}]",http://fan-o-rama.com/,492018,tt5884798,en,Fan-O-Rama,"Your favorite delivery boy, cyclops, and robot are back in this live action adaptation of Futurama. It follows Fry, Leela, and Bender as one of the crew finds that they are soon to die, so they must save them before time runs out.",1.609,/3Mf4y6IX9xYFpoW8h56wSNe3fAO.jpg,[],[],2016-12-22,0,32.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Fan-O-Rama,False,0.0,0,,,,
False,,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,492021,tt0167906,en,Doublecross on Costa's Island,"Six years after stopping a multi-national arms deal that would have wiped out Los Angeles, Agent Enrico Costa (Franco Columbu) is tracked down at his home halfway around the world. Through revenge and deception, from Sardinia to Beverly Hills, Costa must ready for a final showdown by finding his way through an intricate web of double crosses, while meeting up with old friends and enemies. If Costa wants to survive and save his home, and island, he will have to fight his way out!",1.553,/GWnx1hMrcoY4OZMOOXVgL60Zdh.jpg,"[{'id': 1866, 'logo_path': None, 'name': 'Franco Columbu Productions', 'origin_country': ''}, {'id': 56363, 'logo_path': None, 'name': 'Westar Films', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-01,0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"The more you push him, the more dangerous he becomes.",Doublecross on Costa's Island,False,0.0,0,,,,
False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,492023,tt3467906,en,Worst Kind of People,What happens when four despicable idiots decide to rob small-time payday lenders?,0.6,/6RuX7kXeXMPNgBIUSadP8IcYZa5.jpg,"[{'id': 98364, 'logo_path': None, 'name': 'Seymour Flicks', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-09-01,0,84.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,What happens when four despicable idiots decide to rob small-time payday lenders?,Worst Kind of People,False,5.0,1,,,,
False,,,0,"[{'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",,492028,tt0324852,en,I Remember Nelson,"Vice Adm. Horatio Nelson's remarkable naval career and troubled personal affairs are brought to life in this miniseries, which tells his famous story through the narratives of those who knew him best.",0.6,,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1982-04-14,0,240.0,[],Released,,I Remember Nelson,False,0.0,0,,,,
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,492030,tt0463928,en,Braving Alaska,National Geographic documentary about several families living in Alaska,1.564,/wJZJsBxIoPCcx4lZhhParLdSSQH.jpg,[],[],1993-03-01,0,57.0,[],Released,,Braving Alaska,False,0.0,0,,,,
