adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,486000,tt0427053,en,The Characters of Star Wars,"The Characters of Star Wars is a Video Documentary included in the 2004 DVD release of the Star Wars Original Trilogy. It explained the Mythos of many of the ""Star Wars"" Characters.",0.862,/kCo4AowrEKh4lZBCtgGNrGXPNli.jpg,"[{'id': 11302, 'logo_path': None, 'name': 'Leva FilmWorks', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-09-21,0,19.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Characters of Star Wars,False,7.4,5,,,,
False,,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,486004,tt6110606,en,Hell on Earth,"Two survivors, wanting something more for their lives, learn the night is filled with more than just darkness and nightmares.",0.6,/fwRnOhlYRxHKgOt0rSjmgtJHs2x.jpg,"[{'id': 104218, 'logo_path': None, 'name': 'The Forge Studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-31,0,15.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Hell on Earth,False,5.0,2,,,,
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,486010,tt7428530,en,Roosevelt,A biographical drama about President Theodore Roosevelt.,1.646,,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 562, 'logo_path': '/k3NsSdV854UX4zEReX1dl1Psxbb.png', 'name': 'Appian Way', 'origin_country': 'US'}, {'id': 23243, 'logo_path': None, 'name': 'Sikelia Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Roosevelt,False,0.0,0,,,,
False,/toTfiaJqTn3sJENPEkAeRCLMpIa.jpg,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",,486011,tt7441032,en,Like.Share.Follow.,"Garrett is a rising YouTube star. Shell is a deeply emotional fan. When they begin a romantic relationship, he's forced to question whether opening your life to strangers online is an invitation to community and rescue... or to stalking, obsession and madness.",16.439,/frh6P7hqfIqXhzRcKb5UjYRFfPZ.jpg,"[{'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 99208, 'logo_path': None, 'name': 'Studio Unknown', 'origin_country': ''}, {'id': 89115, 'logo_path': '/zQwTHJVIruUlGsa7zIdfXuSm9GG.png', 'name': 'Divide / Conquer', 'origin_country': 'US'}, {'id': 114062, 'logo_path': None, 'name': 'Seer Capital', 'origin_country': ''}, {'id': 96654, 'logo_path': '/r76unvd8wmHNKhII3HjcxRxiCW5.png', 'name': 'Gunpowder & Sky', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-31,0,97.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Like.Share.Follow.,False,5.2,94,,,,
False,,,0,[],,486015,tt7332700,en,A Filmmaker's Journey,"Director Robert Plinkerton is given the chance to create a feature length film, while a documentary crew is given a chance to follow him in his unusual and disastrous production of 'The Vision of Silence.",0.6,/u9aDByLa1sbgsjjptWrTvZqOlI.jpg,[],[],,0,32.0,[],Released,,A Filmmaker's Journey,False,0.0,0,,,,
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,486020,tt6990238,en,Love Like That,About a love triangle. Unidentified takes by Arne Mattsson.,0.6,,"[{'id': 97106, 'logo_path': None, 'name': 'Kotschack-Wachsberger Production', 'origin_country': ''}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",1972-04-01,0,15.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Love Like That,False,0.0,0,,,,
False,,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 27, 'name': 'Horror'}]",http://www.pizzafacemovie.com/,486024,tt6090864,en,Pizza Face,A self-absorbed pizza waitress unleashes devastating horror after downloading a sinister mobile app.,0.6,/jEqosZjBZiwQNAkeuRKcHV57AH0.jpg,[],[],2018-05-10,0,10.0,[],Released,Say Cheese,Pizza Face,False,0.0,0,,,,
True,,,0,[],,486025,tt1013632,en,Kinky Bitch,"Check out our filthy Harmony sluts, tethered and waiting to be taught a lesson. Nothing is too extreme for the horny and helpless pupils. Bondage and gagging will leave them begging for mercy and you begging for more.",0.6,/JelrkPUFefBQu2NPehOdFTmt2F.jpg,"[{'id': 7875, 'logo_path': '/tUCSksg5RTCYcDf6LuvkHQra7uE.png', 'name': 'Harmony Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2007-04-13,0,114.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Kinky Bitch,False,0.0,0,,,,
False,/7VJyb3hILP4LF7PusjJgE4AKSlT.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,486031,tt4458344,en,Liewe Kersfeesvader,"A teenage beauty queen is flung into swift adulthood when her father assumes a new identity: Father Christmas. Juggling a crazy father, an impressionable kid brother and a growing romance, Nonnie has to redefine her own meaning of family.",0.6,/qHy8bFzTfZyMlUOm5rFlihwjsIX.jpg,[],[],2017-11-17,0,113.0,[],Released,,Liewe Kersfeesvader,False,0.0,0,,,,
False,/clhY7nUsUd1XW08B6UYI99LXQBw.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 99, 'name': 'Documentary'}]",http://heaveninauschwitz.com/,486032,tt5676108,en,Heaven in Auschwitz,"A documentary film that tells the fascinating and incredible story of 13 Jewish survivors of the Holocaust in former Czechoslovakia, during the II World War. These men and women, that back then were children, found a legendary Jewish-German character named Fredy Hirsch, who changed their lives forever. The work describes the terrible living conditions in Terezin Ghetto and; on the other hand, the approach to culture and art behind the walls of the concentration camp. Up to this moment, everything develops as a known story, but by the end of 1943 there is an unexpected turn when these children are deported together with their families to the extermination camp in Auschwitz-Birkenau. And there, in the middle of hell, they lived in.",0.814,/qQLLIUZCc2fLQ4rW2ueFtDcsmO1.jpg,"[{'id': 1269, 'logo_path': None, 'name': 'Momentum Films', 'origin_country': ''}, {'id': 97111, 'logo_path': None, 'name': 'Cohen y Cohen Producciones', 'origin_country': ''}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'IL', 'name': 'Israel'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CL', 'name': 'Chile'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",2016-04-21,0,74.0,"[{'english_name': 'Czech', 'iso_639_1': 'cs', 'name': 'Český'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Heaven in Auschwitz,False,0.0,0,,,,
