adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,,,0,[],,487955,tt5911072,en,Alpha: The Awakening,"A man, Apollo, wakes up in the future to realize the human race has been wiped out because of an ancient virus.",0.6,/r4RfsohWmN3TSYTI2tIK2l3Dco.jpg,[],[],,0,0.0,[],Released,He thought it was just the end of humanity!,Alpha: The Awakening,False,0.0,0,,,,
False,/eSslLH8wVpC1zvcnTvGijFgh7uI.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.beforeidothemovie.com,488014,tt3967922,en,Before 'I Do',"A game of Russian roulette. There are scandalous secrets and a cover up, and three people, bound to take them to the grave. Before 'I Do' draws you into the realm of passion and love, lust, lies, and friendship. A fast-paced, colorful drama with a splash of comedy and a myriad of surprises.",7.595,/lUI45RRRF1LXlK2VIneVGkIWyCI.jpg,"[{'id': 133657, 'logo_path': None, 'name': 'Predestined Arts & Entertainment', 'origin_country': ''}, {'id': 133658, 'logo_path': None, 'name': 'New Millennial', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-18,0,62.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A Firefighter in search of his passion finds love.,Before 'I Do',False,0.0,0,,,,
False,,,0,"[{'id': 27, 'name': 'Horror'}]",http://www.freshbloodfilm.com,488022,tt6533186,en,Taaza Khoon,"When a young girl is forced into the sex trade, she must choose her path to freedom even if it involves a vampire. Written & Directed by Richa Rudola",1.96,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-07-10,0,8.0,[],Released,Bloodthirst For Life,Taaza Khoon,False,6.0,1,,,,
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.alienintrusion.com,488036,tt7056772,en,Alien Intrusion: Unmasking a Deception,A look at UFO's from a Christian point of view.,2.126,/6ycocQfqKkTlAqEQBCm9vetkcDG.jpg,[],[],2018-01-11,0,130.0,[],Released,Unmasking The Deception,Alien Intrusion: Unmasking a Deception,False,3.0,1,,,,
False,/cTn6AesswY7RX7LPxexjvYVk66P.jpg,,0,"[{'id': 53, 'name': 'Thriller'}]",https://www.facebook.com/landfallmovie,488059,tt6131562,en,Landfall,"A young couple in tropical Australia is trapped in their home by three fugitives carrying a mysterious icebox containing unknown contents, and they must rely on their wits and cunning to survive as a severe tropical cyclone looms.",2.847,/A8JVg2YkJnZSB7rIFM4tqws2CDw.jpg,"[{'id': 97555, 'logo_path': None, 'name': 'Sapphire Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2017-11-26,0,97.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Only Things More Dangerous Than Acts of Nature are the Acts of Men.,Landfall,False,0.0,0,,,,
False,,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 16, 'name': 'Animation'}]",https://www.inshadow.net/,488087,tt7704904,en,In-Shadow: A Modern Odyssey,"Embark on a visionary journey through the fragmented unconscious of the west, and with courage face the Shadow. From Shadow into Light.",0.84,/y4x9YoIIKwK4c650Gs1wZKKAH9P.jpg,[],[],2017-11-17,0,13.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Embark on a visionary journey through the fragmented unconscious of the west, and with courage face the Shadow. From Shadow into Light.",In-Shadow: A Modern Odyssey,False,0.0,0,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,488091,tt2351313,en,Long Walk Home,"A dark romantic comedy about a young couple from London. A decision to walk home one night, rather than taking a taxi, brings out the very different secrets that they have been keeping from one another.",0.6,,"[{'id': 97566, 'logo_path': None, 'name': 'LFS', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2012-01-01,0,15.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"One Night, Two Secrets",Long Walk Home,False,0.0,0,,,,
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.transmutationfilm.com/,488110,tt5607290,en,Transmutation,"Meet the men and women who are living testament to the power of transmutation, each sharing their extraordinary stories of empowerment, authenticity, and love. This feature documentary explores the rarely-seen intimacies of a deeply individualistic mystical experience of reality. Is direct personal encounter with divinity a real thing? What secrets are buried in nature's deep places? Why has mainstream culture sought to eradicate the awakened human? Is normality really our friend? The answers may surprise you.",1.5319999999999998,/nEgWclU06ooOWU1F9mzmyUmoxPH.jpg,"[{'id': 97576, 'logo_path': None, 'name': 'Aurora Labs', 'origin_country': ''}, {'id': 97575, 'logo_path': None, 'name': 'Transmutation Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-01-01,0,60.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Uproot Normality,Transmutation,False,0.0,0,,,,
False,,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",,488111,tt5942108,en,Jinn,Down on her luck Dora is given a magical genie lamp that grants her a Faustian deal.... but every wish has a price.,1.96,/4xOGEJmN74kMhyk2dHStGvxRxWV.jpg,[],[],2016-08-06,0,76.0,[],Released,Every wish has a price,Jinn,False,0.0,0,,,,
False,/2jB7zzzvBxFCdEPOWKLP4yakPGp.jpg,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",,488113,tt7074092,en,Christmas Wedding Planner,"Wedding Planner, Kelsey Wilson, is about to have her big break: planning her beloved cousin's lavish and exclusive wedding. Everything is going smoothly until Connor McClane, a devilishly handsome private investigator, shows up and turns Kelsey's world upside-down. Hired by a secret source, Connor quickly disrupts the upcoming nuptials but wins Kelsey's heart in the process.",13.84,/eiXeO0UXYLqASWcuJMJNgWqGqmC.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2017-12-14,0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Love is the greatest gift of all,Christmas Wedding Planner,False,5.5,331,,,,
