adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,/vGYMPlVUS5ViBTlINn4A1dRiesu.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",https://www.wetheanimals.film/,490000,tt7681824,en,We the Animals,"Manny, Joel and Jonah tear their way through childhood and push against the volatile love of their parents. As Manny and Joel grow into versions of their father and Ma dreams of escape, Jonah, the youngest, embraces an imagined world all his own.",9.958,/pSMcNOpihv6U4JlNAaxfbl2qUj7.jpg,"[{'id': 12219, 'logo_path': '/2ddXaM0AHMpAl3tmwfbwyjP6SP.png', 'name': 'Cinereach', 'origin_country': 'US'}, {'id': 96971, 'logo_path': None, 'name': 'Public Record', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-06,0,94.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Us three, us brothers, us kings.",We the Animals,False,6.6,97,,,,
False,/rq6qHFvW0rKpvOO1lTrpKEAunPI.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",https://www.hbo.com/documentaries/believer,490001,tt7689424,en,Believer,"Imagine Dragons’ Mormon frontman Dan Reynolds is taking on a new mission to explore how the church treats its LGBTQ members. With the rising suicide rate amongst teens in the state of Utah, his concern with the church’s policies sends him on an unexpected path for acceptance and change.",8.249,/1jXKnbaBBI4OeQTSuSEKLqWzM5H.jpg,"[{'id': 4274, 'logo_path': '/aUOQuqZATZ8wWzxDgIiY32px7Ok.png', 'name': '9.14 Pictures', 'origin_country': ''}, {'id': 119097, 'logo_path': None, 'name': 'Another Brother', 'origin_country': ''}, {'id': 81368, 'logo_path': '/srN5L2dTtbsb48VUHvpNG71pT7q.png', 'name': 'Live Nation Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-01-20,0,102.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,On a journey to reconcile pride and faith.,Believer,False,7.3,18,,,,
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,490002,tt7391448,en,Quiet Heroes,"In Salt Lake City, Utah, the socially conservative religious monoculture complicated the AIDS crisis, where patients in the entire state and intermountain region relied on only one doctor. This is the story of her fight to save a maligned population everyone else seemed willing to just let die.",1.763,/n5ZUeXA9H7cePlJJoUtxZIM0a06.jpg,[],[],2018-01-21,0,,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Quiet Heroes,False,6.4,5,,,,
False,/yrepQdpreOorLyBJyvZkGn3Izfe.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",http://focusfeatures.com/wont-you-be-my-neighbor/,490003,tt7681902,en,Won't You Be My Neighbor?,"Fred Rogers used puppets and play to explore complex social issues: race, disability, equality and tragedy, helping form the American concept of childhood. He spoke directly to children and they responded enthusiastically. Yet today, his impact is unclear. Have we lived up to Fred's ideal of good neighbors?",9.975,/8qE8NZjiP2M884baH0VoLF828Vp.jpg,"[{'id': 58637, 'logo_path': '/yLSNxhJzLwYS0OZmLGjwnPcUGUT.png', 'name': 'Tremolo Productions', 'origin_country': 'US'}, {'id': 14909, 'logo_path': '/8fLjVGiX8adkseQMCIBYt3UYFiO.png', 'name': 'Impact Partners', 'origin_country': 'US'}, {'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-08,22835787,95.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A little kindness makes a world of difference.,Won't You Be My Neighbor?,False,8.2,359,,,,
False,/gQ6Tw3MPtFI7pN0dE5Cd4t64gvD.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",,490004,tt2140629,en,Arizona,"Set in the midst of the 2009 housing crisis, the life of Cassie Fowler, a single mother and struggling realtor, goes off the rails when she witnesses a murder.",13.281,/sLqutab3wuUfPBu27rXcoaEd6WD.jpg,"[{'id': 20848, 'logo_path': '/htPfdm3yNRVsDz8CyyMozALKOO0.png', 'name': 'Rough House Pictures', 'origin_country': 'US'}, {'id': 81121, 'logo_path': '/yX4flP3T5bZuOQ8Qdw8XuoELU53.png', 'name': 'Imperative Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-08-24,0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"The heat is on, but it’s a dry heat.",Arizona,False,5.3,126,,,,
False,/bjwLKXd1nMSnwMtRmgtSDCwugwk.jpg,,0,"[{'id': 35, 'name': 'Comedy'}]",http://nevergoinback.com,490005,tt7690016,en,Never Goin' Back,"Waitresses Angela and Jessie dream of leaving their low-rent diner and heading to Galveston, Texas. They soon find themselves on the streets of Dallas, trying to come up with increasingly wild schemes to raise some much-needed cash.",11.671,/3ytp5pmHFVvAesnL2SJecxgV8W2.jpg,"[{'id': 14634, 'logo_path': None, 'name': 'Sailor Bear', 'origin_country': 'US'}, {'id': 74148, 'logo_path': None, 'name': 'Mama Bear Studios', 'origin_country': ''}, {'id': 49471, 'logo_path': None, 'name': 'Zero Trans Fat Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-08-03,0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Never Goin' Back,False,6.0,56,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,490008,tt7689950,en,White Rabbit,A dramatic comedy following a Korean American performance artist who struggles to be authentically heard and seen through her multiple identities in modern Los Angeles.,5.732,/1GSS04HpdHMx1zDyrOM5sgxoAbJ.jpg,"[{'id': 50080, 'logo_path': None, 'name': 'Mister Lister Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-01-18,0,71.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,White Rabbit,False,5.8,7,,,,
False,/lslmUsEFOOUJ0XXzWWtlBv9ROSc.jpg,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",,490009,tt6001632,en,She Is King,"A talented young woman from a rural village travels to the ""Big City"" of Johannesburg, South Africa to become a Star. She lands a role in a musical play about Zulu Queen Mkabayi, Shaka's Aunt and searches for her identity as a Performer, a Zulu, a Woman and a Daughter. Will she be able to keep up with her more seasoned fellow performers, avoid the jealous machinations of the aging leading lady and survive the punishing rehearsal schedule to make it to opening night and shine like the star she is? ""She is King"" is a joyous celebration of Zulu culture in a glossy contemporary setting, showing off Joburg as the ""Broadway of Africa"".",2.017,/glkNVp6Ao178hMqdeBBeaiw65FM.jpg,[],[],2017-06-01,0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,She Is King,False,0.0,0,,,,
False,,,0,[],,490010,tt0386653,en,Murder at Midnight,"Two female detectives try to find a psycho killer, the Midnight Murderer, who seeks revenge against men, for having been abused during her childhood.",0.6,,[],[],,0,,[],Released,,Murder at Midnight,False,4.0,1,,,,
False,,,0,[],,490013,tt0011805,en,Under Crimson Skies,"The captain of a sailing ship has an affair with the wife of one of his passengers, and gets mixed up in a mutiny at sea and a revolution.",0.6,/dMVNGHz7nkEoqHGskFnWENXpvHy.jpg,[],[],1920-07-05,0,60.0,[],Released,,Under Crimson Skies,False,0.0,0,,,,
