,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,imdb_id,budget,0,Metascore,imdbRating,imdbVotes,BoxOffice
76,FALSE,/5nAYjMYxC8bHc7sKCFhfd6y3eMa.jpg,"[878, 28, 12, 14]",686487,en,King Kong vs. Godzilla,"The more famous John Beck re-edit of the original Japanese film. Eric Carter of United Nation News reports on the emergence of Godzilla just as a Japanese pharmaceutical company seeks publicity with a monster of their own. New footage with American actors was inserted along with several scenes deleted, altering the narrative structure and comedy of the original to center around a UN news report not present in the original. Much of the original soundtrack was also replaced in favor of stock music from the Universal Library. Stock footage of The Mysterians was also inserted through out the film. Due to the licensing deal between Toho and Universal the American edit is the primary and most widely available version of the film.",274.625,/xcvSLEBoMYRhkHaVX00txdxocet.jpg,6/26/1963,King Kong vs. Godzilla,FALSE,7.3,93,tt0056142,2700000,12000,40,5.9,"8,887",N/A
77,FALSE,/aL53oMdZKZRJRH8txH07DLuleF9.jpg,"[28, 12, 14, 878]",284052,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",147.298,/xf8PbyQcR5ucXErmZNzdKR0s8ya.jpg,10/25/2016,Doctor Strange,FALSE,7.4,16641,tt1211837,677700000,165000000,72,7.5,"605,825","$232,641,920 "
78,FALSE,/spYx9XQFODuqEVoPpvaJI1ksAVt.jpg,"[28, 53, 18]",522938,en,Rambo: Last Blood,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",171.686,/kTQ3J8oTTKofAVLYnds2cHUz9KO.jpg,9/19/2019,Rambo: Last Blood,FALSE,6.4,2500,tt1206885,91490353,50000000,26,6.1,"83,109","$44,819,352 "
79,FALSE,/e7tMI0zVKJB2TS74TaBifIZIkCp.jpg,"[27, 28, 35]",338967,en,Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",175.794,/dtRbVsUb5O12WWO54SRpiMtHKC0.jpg,10/9/2019,Zombieland: Double Tap,FALSE,7,3480,tt1560220,122801777,42000000,55,6.7,"142,534","$73,123,082 "
80,FALSE,/rH79sB6Nkx4cMW3JzsUy7wK0rhX.jpg,"[28, 878, 27]",345940,en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",165.577,/xqECHNvzbDL5I3iiOVUkVPJMSbc.jpg,8/9/2018,The Meg,FALSE,6.2,5014,tt4779682,530243742,150000000,46,5.6,"151,262","$145,443,742 "
81,FALSE,/wrqUiMXttHE4UBFMhLHlN601MZh.jpg,[28],427641,en,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",171.135,/MGADip4thVSErP34FAAfzFBTZ5.jpg,4/12/2018,Rampage,FALSE,6.4,5135,tt2231461,426245950,120000000,45,6.1,"145,725","$101,028,233 "
82,FALSE,/xUUtcxWC6H48UCrpRwwSPQz69XC.jpg,"[53, 27]",659986,en,The Owners,"A group of friends think they found the perfect easy score - an empty house with a safe full of cash. But when the elderly couple that lives there comes home early, the tables are suddenly turned. As a deadly game of cat and mouse ensues, the would-be thieves must fight to save themselves from a nightmare they could never have imagined.",148.462,/gzFatNrw0lhKD5NxaU6zC7S2KjP.jpg,8/27/2020,The Owners,FALSE,5.8,150,tt9806370,225374,0,53,4.8,"4,757",N/A
83,FALSE,/a0xTB1vBxMGt6LGG4N7k1wO9lfL.jpg,"[28, 12, 35]",458897,en,Charlie's Angels,"When a systems engineer blows the whistle on a dangerous technology, Charlie's Angels from across the globe are called into action, putting their lives on the line to protect society.",167.575,/1DPUFG6QnGqzpvEaDEv7TaepycM.jpg,11/14/2019,Charlie's Angels,FALSE,6.7,1957,tt5033998,73279888,48000000,52,4.8,"57,914","$17,803,077 "
84,FALSE,/997ToEZvF2Obp9zNZbY5ELVnmrW.jpg,"[10749, 18, 35]",537915,en,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",159.517,/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,4/11/2019,After,FALSE,7.2,5979,tt4126476,69497587,14000000,30,5.3,"39,592","$12,138,565 "
85,FALSE,/tXQP5bdZbNWogkQhTHy0H5kqlUy.jpg,[53],560192,en,Grand Isle,"Walter and his neglected wife lure a young man into their Victorian home to escape a hurricane. When the man is charged with murder by Det. Jones, he must reveal the couple's wicked secrets to save himself.",161.406,/8mcXb3km7hZ8aJKpxxgnvvxt9gW.jpg,12/6/2019,Grand Isle,FALSE,6.1,146,tt8380776,0,0,29,4.7,"2,469",N/A
86,FALSE,/aHYUj0hICtWZ5tPiCIm6pWUcjYK.jpg,"[27, 28, 18, 10752]",675327,en,Shadow in the Cloud,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,148.12,/t7EUMSlfUN3jUSZUJOLURAzJzZs.jpg,12/31/2020,Shadow in the Cloud,FALSE,5.8,266,tt9691136,0,0,66,4.7,"11,449","$40,000 "
87,FALSE,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,"[28, 12, 14]",297802,en,Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",153.749,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,12/7/2018,Aquaman,FALSE,6.9,10200,tt1477834,1148461807,160000000,55,6.9,"376,669","$335,061,807 "
88,FALSE,/zCjZfevPFBbOh2SAx2syIBHSqEI.jpg,"[28, 18, 878]",124905,en,Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",197.697,/iBZhbCVhLpyxAfW1B8ePUxjScrx.jpg,5/14/2014,Godzilla,FALSE,6.2,6701,tt0831387,529076069,160000000,62,6.4,"380,072","$200,676,069 "
89,FALSE,/lm4xH0YwFbVvTgdtau1thNK5S6J.jpg,"[53, 27, 18]",511987,en,Crawl,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.",150.837,/mKxpYRIrCZLxZjNqpocJ2RdQW8v.jpg,7/11/2019,Crawl,FALSE,6.3,2017,tt8364368,89203432,13500000,60,6.1,"68,622","$39,014,193 "
90,FALSE,/x0VXCWSTny5JRvpgDnw5ptwQyhA.jpg,"[878, 28, 53, 12, 27, 35]",346910,en,The Predator,"When a kid accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled female scientist can prevent the end of the human race.",148.005,/wMq9kQXTeQCHUZOG4fAe5cAxyUA.jpg,9/5/2018,The Predator,FALSE,5.6,3255,tt3829266,160542134,88000000,48,5.3,"117,268","$51,024,708 "
91,FALSE,/eSl9MRMvWJ0Hm5yePHgsRhFtPTw.jpg,"[878, 10749, 18]",613911,en,Bliss,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is just a computer simulation. Doubtful at first, Greg eventually discovers there may be some truth to Isabel’s wild conspiracy.",131.053,/b7BllsQkD6nTkAdtd28UVCmKqVi.jpg,2/5/2021,Bliss,FALSE,5.4,262,tt10333426,0,0,40,5.3,"10,517",N/A
