date,Biutiful,True Grit,The Social Network,The King's Speech,127 Hours,The Fighter,Winter's Bone,The Town,The Kids Are All Right,Rabbit Hole,Black Swan,Blue Valentine,Animal Kingdom,How to Train Your Dragon,The Illusionist,Toy Story 3,Alice in Wonderland
2010-07-22,,,,,,,,,32.0,,,,,,,,
2010-07-23,,,,,,,,,51.0,,,,,,,,
2010-07-24,,,,,,,,,77.0,,,,,,,,
2010-07-25,,,,,,,,,51.0,,,,,,,,
2010-07-26,,,,,,,,,28.0,,,,,,,,
2010-07-27,,,,,,,,,39.0,,,,,,,,
2010-07-28,,,,,,,,,27.0,,,,,,,,
2010-07-29,,,,,,,,,36.0,,,,,,,,
2010-07-30,,,,,,,,,34.0,,,,,,,,
2010-07-31,,,,,,,,,56.0,,,,,,,,
2010-08-01,,,,,,,,,56.0,,,,,,,,
2010-08-02,,,,,,,,,36.0,,,,,,,,
2010-08-03,,,,,,,,,19.0,,,,,,,,
2010-08-04,,,,,,,,,24.0,,,,,,,,
2010-08-05,,,,,,,,,24.0,,,,,,,,
2010-08-06,,,,,,,,,29.0,,,,,,,,
2010-08-07,,,,,,,,,39.0,,,,,,,,
2010-08-08,,,,,,,,,45.0,,,,,,,,
2010-08-09,,,,,,,,,35.0,,,,,,,,
2010-09-06,,,,0.0,,,,,,,,,,,,,
2010-09-07,,,,0.0,,,,,,,,,,,,,
2010-09-08,,,,0.0,,,,,,,,,,,,,
2010-09-09,,,,0.0,,,,,,,,,,,,,
2010-09-10,,,,0.0,,,,,,,,,,,,,
2010-09-11,,,,0.0,,,,,,,,,,,,,
2010-09-12,,,,63.0,,,,,,,,,,,,,
2010-09-13,,,,47.0,,,,,,,,,,,,,
2010-09-14,,,,0.0,,,,,,,,,,,,,
2010-09-15,,,,0.0,,,,28.0,,,,,,,,,
2010-09-16,,,,0.0,,,,39.0,,,,,,,,,
2010-09-17,,,,0.0,,,,79.0,,,,,,,,,
2010-09-18,,,,0.0,,,,100.0,,,,,,,,,
2010-09-19,,,,0.0,,,,81.0,,,,,,,,,
2010-09-20,,,,47.0,,,,58.0,,,,,,,,,
2010-09-21,,,,0.0,,,,41.0,,,,,,,,,
2010-09-22,,,,0.0,,,,42.0,,,,,,,,,
2010-09-23,,,,46.0,,,,35.0,,,,,,,,,
2010-09-24,,,,100.0,,,,44.0,,,,,,,,,
2010-09-25,,,,66.0,,,,61.0,,,,,,,,,
2010-09-26,,,,0.0,,,,67.0,,,,,,,,,
2010-09-27,,,,0.0,,,,36.0,,,,,,,,,
2010-09-28,,,,46.0,,,,31.0,,,,,,,,,
2010-09-29,,,,0.0,,,,30.0,,,,,,,,,
